arm	PPL	letter_acc	headroom_pp	ci_lo_pp	ci_hi_pp	p_vs_chance	N
base	7.398	0.6054	+35.54	+34.73	+36.35	0.000e+00	14042
full32@25k	7.670	0.5877	+33.77	+32.95	+34.58	0.000e+00	14042
ShortGPT-16	9.780	0.4742	+22.42	+21.60	+23.25	0.000e+00	14042
keep14@200k	10.561	0.3184	+6.84	+6.07	+7.62	1.734e-78	14042
Random-16L	11.498	0.2470	-0.30	-1.01	+0.42	7.962e-01	14042
keep14@67500	11.533	0.2492	-0.08	-0.79	+0.64	5.887e-01	14042
keep12@124k	11.566	0.2728	+2.28	+1.54	+3.02	2.382e-10	14042
frozen@200k	12.797	0.2624	+1.24	+0.51	+1.97	3.607e-04	14042
keep10@83.5k	12.816	0.2720	+2.20	+1.47	+2.95	8.108e-10	14042
keep8@121k	13.333	0.2550	+0.50	-0.21	+1.23	8.473e-02	14042
