arm,n,dtype,readout,convention,reported,null,delta_pp,ci95_lo_pp,ci95_hi_pp,boot_p,verdict,residual_fraction
7B_base,14042,bf16,content_norm,split,0.470588,0.28445,18.6138,17.6637,19.5776,0.0001,above the null,0.395543
7B_base,14042,bf16,content_norm,first,0.470588,0.281085,18.9503,17.9319,19.9829,0.0001,above the null,0.402694
7B_base,14042,bf16,content_norm,last,0.470588,0.282154,18.8435,17.818,19.8832,0.0001,above the null,0.400424
7B_base,14042,bf16,content_norm,credit,0.470588,0.45371,1.6878,0.6338,2.742,0.001,above the null,0.035866
7B_base,14042,bf16,content_norm,wrong,0.470588,0.196126,27.4462,26.4563,28.4434,0.0001,above the null,0.583232
7B_base,14042,bf16,content_raw,split,0.440037,0.28445,15.5587,14.3949,16.729,0.0001,above the null,0.353577
7B_base,14042,bf16,content_raw,first,0.440037,0.281085,15.8952,14.6703,17.1414,0.0001,above the null,0.361223
7B_base,14042,bf16,content_raw,last,0.440037,0.282154,15.7883,14.5563,17.0061,0.0001,above the null,0.358796
7B_base,14042,bf16,content_raw,credit,0.440037,0.45371,-1.3673,-2.6351,-0.1068,0.0348,BELOW the null,-0.031073
7B_base,14042,bf16,content_raw,wrong,0.440037,0.196126,24.3911,23.223,25.5733,0.0001,above the null,0.554297
7B_base,14042,fp32,content_norm,split,0.470446,0.28445,18.5996,17.6512,19.5586,0.0001,above the null,0.39536
7B_base,14042,fp32,content_norm,first,0.470446,0.281085,18.936,17.9177,19.9617,0.0001,above the null,0.402513
7B_base,14042,fp32,content_norm,last,0.470446,0.282154,18.8292,17.8037,19.8618,0.0001,above the null,0.400242
7B_base,14042,fp32,content_norm,credit,0.470446,0.45371,1.6736,0.6194,2.7347,0.0012,above the null,0.035574
7B_base,14042,fp32,content_norm,wrong,0.470446,0.196126,27.432,26.4421,28.4361,0.0001,above the null,0.583106
7B_base,14042,fp32,content_raw,split,0.439823,0.28445,15.5373,14.3712,16.6976,0.0001,above the null,0.353263
7B_base,14042,fp32,content_raw,first,0.439823,0.281085,15.8738,14.6418,17.1201,0.0001,above the null,0.360913
7B_base,14042,fp32,content_raw,last,0.439823,0.282154,15.767,14.5421,16.9848,0.0001,above the null,0.358484
7B_base,14042,fp32,content_raw,credit,0.439823,0.45371,-1.3887,-2.6563,-0.1282,0.0322,BELOW the null,-0.031574
7B_base,14042,fp32,content_raw,wrong,0.439823,0.196126,24.3697,23.1947,25.5519,0.0001,above the null,0.55408
7B_shortgpt16_step200000,14042,bf16,content_norm,split,0.401154,0.28445,11.6703,10.7214,12.6039,0.0001,above the null,0.29092
7B_shortgpt16_step200000,14042,bf16,content_norm,first,0.401154,0.281085,12.0068,10.9885,13.011,0.0001,above the null,0.299308
7B_shortgpt16_step200000,14042,bf16,content_norm,last,0.401154,0.282154,11.9,10.8745,12.9041,0.0001,above the null,0.296645
7B_shortgpt16_step200000,14042,bf16,content_norm,credit,0.401154,0.45371,-5.2557,-6.3239,-4.1874,0.0001,BELOW the null,-0.131014
7B_shortgpt16_step200000,14042,bf16,content_norm,wrong,0.401154,0.196126,20.5028,19.5271,21.4499,0.0001,above the null,0.511095
7B_shortgpt16_step200000,14042,bf16,content_raw,split,0.376371,0.28445,9.1921,8.055,10.3262,0.0001,above the null,0.244229
7B_shortgpt16_step200000,14042,bf16,content_raw,first,0.376371,0.281085,9.5286,8.325,10.7321,0.0001,above the null,0.253169
7B_shortgpt16_step200000,14042,bf16,content_raw,last,0.376371,0.282154,9.4217,8.2111,10.6181,0.0001,above the null,0.250331
7B_shortgpt16_step200000,14042,bf16,content_raw,credit,0.376371,0.45371,-7.7339,-8.9873,-6.4663,0.0001,BELOW the null,-0.205487
7B_shortgpt16_step200000,14042,bf16,content_raw,wrong,0.376371,0.196126,18.0245,16.8708,19.1712,0.0001,above the null,0.478903
7B_shortgpt16_step200000,14042,fp32,content_norm,split,0.400655,0.28445,11.6205,10.6757,12.538,0.0001,above the null,0.290037
7B_shortgpt16_step200000,14042,fp32,content_norm,first,0.400655,0.281085,11.957,10.9529,12.954,0.0001,above the null,0.298436
7B_shortgpt16_step200000,14042,fp32,content_norm,last,0.400655,0.282154,11.8502,10.8247,12.8545,0.0001,above the null,0.29577
7B_shortgpt16_step200000,14042,fp32,content_norm,credit,0.400655,0.45371,-5.3055,-6.3737,-4.2373,0.0001,BELOW the null,-0.132421
7B_shortgpt16_step200000,14042,fp32,content_norm,wrong,0.400655,0.196126,20.4529,19.4773,21.4001,0.0001,above the null,0.510487
7B_shortgpt16_step200000,14042,fp32,content_raw,split,0.376656,0.28445,9.2206,8.0787,10.3499,0.0001,above the null,0.244801
7B_shortgpt16_step200000,14042,fp32,content_raw,first,0.376656,0.281085,9.557,8.3535,10.7535,0.0001,above the null,0.253734
7B_shortgpt16_step200000,14042,fp32,content_raw,last,0.376656,0.282154,9.4502,8.2324,10.6538,0.0001,above the null,0.250898
7B_shortgpt16_step200000,14042,fp32,content_raw,credit,0.376656,0.45371,-7.7055,-8.9517,-6.4236,0.0001,BELOW the null,-0.204576
7B_shortgpt16_step200000,14042,fp32,content_raw,wrong,0.376656,0.196126,18.053,16.9064,19.2067,0.0001,above the null,0.479297
7B_keep14_step200000,14042,bf16,content_norm,split,0.383208,0.28445,9.8757,8.9499,10.8081,0.0001,above the null,0.257712
7B_keep14_step200000,14042,bf16,content_norm,first,0.383208,0.281085,10.2122,9.215,11.195,0.0001,above the null,0.266493
7B_keep14_step200000,14042,bf16,content_norm,last,0.383208,0.282154,10.1054,9.1013,11.1095,0.0001,above the null,0.263706
7B_keep14_step200000,14042,bf16,content_norm,credit,0.383208,0.45371,-7.0503,-8.0971,-5.9963,0.0001,BELOW the null,-0.183981
7B_keep14_step200000,14042,bf16,content_norm,wrong,0.383208,0.196126,18.7082,17.7608,19.6624,0.0001,above the null,0.488199
7B_keep14_step200000,14042,bf16,content_raw,split,0.354793,0.28445,7.0343,5.8829,8.15,0.0001,above the null,0.198264
7B_keep14_step200000,14042,bf16,content_raw,first,0.354793,0.281085,7.3707,6.1599,8.5743,0.0001,above the null,0.207748
7B_keep14_step200000,14042,bf16,content_raw,last,0.354793,0.282154,7.2639,6.0533,8.4461,0.0001,above the null,0.204737
7B_keep14_step200000,14042,bf16,content_raw,credit,0.354793,0.45371,-9.8918,-11.1523,-8.6312,0.0001,BELOW the null,-0.278804
7B_keep14_step200000,14042,bf16,content_raw,wrong,0.354793,0.196126,15.8667,14.7059,16.9848,0.0001,above the null,0.44721
7B_keep14_step200000,14042,fp32,content_norm,split,0.383848,0.28445,9.9398,9.0128,10.8597,0.0001,above the null,0.258952
7B_keep14_step200000,14042,fp32,content_norm,first,0.383848,0.281085,10.2763,9.2722,11.2591,0.0001,above the null,0.267718
7B_keep14_step200000,14042,fp32,content_norm,last,0.383848,0.282154,10.1695,9.1654,11.1738,0.0001,above the null,0.264935
7B_keep14_step200000,14042,fp32,content_norm,credit,0.383848,0.45371,-6.9862,-8.0259,-5.9393,0.0001,BELOW the null,-0.182004
7B_keep14_step200000,14042,fp32,content_norm,wrong,0.383848,0.196126,18.7723,17.8251,19.7194,0.0001,above the null,0.489054
7B_keep14_step200000,14042,fp32,content_raw,split,0.354437,0.28445,6.9986,5.842,8.1114,0.0001,above the null,0.197458
7B_keep14_step200000,14042,fp32,content_raw,first,0.354437,0.281085,7.3351,6.1243,8.5246,0.0001,above the null,0.206952
7B_keep14_step200000,14042,fp32,content_raw,last,0.354437,0.282154,7.2283,6.0177,8.4176,0.0001,above the null,0.203938
